id,aircraft_id,shop_id,work_package_id,assigned_supervisor_id,assigned_worker_id,distributed_at,planned_mh,task_text,is_active,deactivated_at,deactivated_by,created_at,created_by
101,1,1,,2,3,2026-03-06T09:27:53+00:00,4.00,Validate imported task template for A350 C01,1,,,2026-02-19T09:27:53+00:00,2
102,2,1,,2,4,2026-03-10T09:27:53+00:00,6.00,Cross-check manpower plan against latest meeting notes,1,,,2026-02-20T09:27:53+00:00,2
103,3,1,3,2,5,2026-03-17T09:27:53+00:00,5.50,Prepare avionics kit issue tracker handover,1,,,2026-02-21T09:27:53+00:00,2
104,1,1,1,2,3,2026-03-10T09:27:53+00:00,3.00,Review heavy-check open points with structures,1,,,2026-02-22T09:27:53+00:00,2
105,4,1,4,2,,,2.50,Reconcile material ETA against phase-check plan,1,,,2026-02-16T09:27:53+00:00,2
106,5,1,5,2,4,2026-03-03T09:27:53+00:00,4.50,Verify cabin retrofit drawing package,1,,,2026-02-17T09:27:53+00:00,2
201,1,2,1,6,7,2026-03-10T09:27:53+00:00,28.00,Open LH wing root panel and inspect corrosion,1,,,2026-02-21T09:27:53+00:00,16
202,1,2,1,6,20,2026-03-06T09:27:53+00:00,16.00,Blend out frame 47 doubler damage,1,,,2026-02-22T09:27:53+00:00,16
203,1,2,1,6,19,2026-03-10T09:27:53+00:00,14.00,Install replacement cargo liner supports,1,,,2026-02-16T09:27:53+00:00,16
204,4,2,4,6,7,2026-03-10T09:27:53+00:00,18.00,Inspect seat track attachment at row 32,1,,,2026-02-17T09:27:53+00:00,16
205,4,2,4,6,8,2026-03-10T09:27:53+00:00,12.00,Repair floor beam light corrosion,1,,,2026-02-18T09:27:53+00:00,16
206,4,2,9,6,20,2026-03-06T09:27:53+00:00,10.00,Rework aft door surround shim pack,1,,,2026-02-19T09:27:53+00:00,16
207,4,2,9,6,7,2026-03-10T09:27:53+00:00,9.00,Replace damaged monument rail brackets,1,,,2026-02-20T09:27:53+00:00,16
208,1,2,1,6,8,2026-03-06T09:27:53+00:00,22.00,Close NDT findings on lower fuselage skin,1,,,2026-02-21T09:27:53+00:00,16
209,7,2,7,6,7,2026-02-26T09:27:53+00:00,7.00,Finalize corrosion repair paperwork,0,2026-03-17T09:27:53+00:00,16,2026-02-22T09:27:53+00:00,16
210,2,2,,6,,,6.00,General structural snag triage,1,,,2026-02-16T09:27:53+00:00,16
211,1,2,1,6,20,2026-03-17T09:27:53+00:00,8.00,Rivet replacement at panel 533AL,1,,,2026-02-17T09:27:53+00:00,16
212,4,2,4,6,7,2026-03-10T09:27:53+00:00,11.00,Sealant rework at cargo bay cutout,1,,,2026-02-18T09:27:53+00:00,16
213,4,2,9,6,19,2026-03-10T09:27:53+00:00,13.00,Seat rail alignment check,1,,,2026-02-19T09:27:53+00:00,16
214,1,2,1,6,20,2026-03-17T09:27:53+00:00,6.50,Install access panel fastener kit,1,,,2026-02-20T09:27:53+00:00,16
