ac_reg,rfo_no,description,planned_mh
9V-SKA,RFO-260301,Open LH wing root panel and inspect corrosion,28.00
9V-SKA,RFO-260301,Blend out frame 47 doubler damage,16.00
9V-SKA,RFO-260301,Install replacement cargo liner supports,14.00
A6-EQH,RFO-260304,Inspect seat track attachment at row 32,18.00
A6-EQH,RFO-260304,Repair floor beam light corrosion,12.00
A6-EQH,RFO-260309,Rework aft door surround shim pack,10.00
A6-EQH,RFO-260309,Replace damaged monument rail brackets,9.00
9V-SKA,RFO-260301,Close NDT findings on lower fuselage skin,22.00
9V-SKB,,General structural snag triage,6.00
9V-SKA,RFO-260301,Rivet replacement at panel 533AL,8.00
A6-EQH,RFO-260304,Sealant rework at cargo bay cutout,11.00
A6-EQH,RFO-260309,Seat rail alignment check,13.00
9V-SKA,RFO-260301,Install access panel fastener kit,6.50
A6-EQH,RFO-260304,Inspect antenna doubler edges,7.50
A6-EQH,RFO-260309,Prepare engineering deviation record,5.50
9V-SKA,RFO-260301,Replace worn fasteners at frame 62,15.00
9V-SKA,RFO-260301,Inspect crown skin for lightning strike marks,10.00
A6-EQH,RFO-260304,Trim and fit replacement trim panel supports,9.50
A6-EQH,RFO-260309,Re-torque seat track splice bolts,8.50
9V-SKB,,Review third-party structural defect list,4.00
